ticker,period_end,period_type,fiscal_year,revenue,net_income,eps_diluted,net_margin
AAPL,2023-04-01,Q,2023,94836000000,24160000000,1.5200,0.2548
AAPL,2023-07-01,Q,2023,81797000000,19881000000,1.2600,0.2431
AAPL,2023-09-30,FY,2023,383285000000,96995000000,6.1300,0.2531
AAPL,2023-12-30,Q,2023,119575000000,33916000000,2.1800,0.2836
AAPL,2024-03-30,Q,2024,90753000000,23636000000,1.5300,0.2604
AAPL,2024-06-29,Q,2024,85777000000,21448000000,1.4000,0.2500
AAPL,2024-09-28,FY,2024,391035000000,93736000000,6.0800,0.2397
AAPL,2024-12-28,Q,2024,124300000000,36330000000,2.4000,0.2923
AAPL,2025-03-29,Q,2025,95359000000,24780000000,1.6500,0.2599
AAPL,2025-06-28,Q,2025,94036000000,23434000000,1.5700,0.2492
AAPL,2025-09-27,FY,2025,416161000000,112010000000,7.4600,0.2692
AAPL,2025-12-27,Q,2025,143756000000,42097000000,2.8400,0.2928
AAPL,2026-03-28,Q,2026,111184000000,29578000000,2.0100,0.2660
MSFT,2023-03-31,Q,2023,52857000000,18299000000,2.4500,0.3462
MSFT,2023-06-30,FY,2023,211915000000,72361000000,9.6800,0.3415
MSFT,2023-09-30,Q,2023,56517000000,22291000000,2.9900,0.3944
MSFT,2023-12-31,Q,2023,62020000000,21870000000,2.9300,0.3526
MSFT,2024-03-31,Q,2024,61858000000,21939000000,2.9400,0.3547
MSFT,2024-06-30,FY,2024,245122000000,88136000000,11.8000,0.3596
MSFT,2024-09-30,Q,2024,65585000000,24667000000,3.3000,0.3761
MSFT,2024-12-31,Q,2024,69632000000,24108000000,3.2300,0.3462
MSFT,2025-03-31,Q,2025,70066000000,25824000000,3.4600,0.3686
MSFT,2025-06-30,FY,2025,281724000000,101832000000,13.6400,0.3615
MSFT,2025-09-30,Q,2025,77673000000,27747000000,3.7200,0.3572
MSFT,2025-12-31,Q,2025,81273000000,38458000000,5.1600,0.4732
MSFT,2026-03-31,Q,2026,82886000000,31778000000,4.2700,0.3834
NVDA,2023-01-29,FY,2023,26974000000,4368000000,0.1700,0.1619
NVDA,2023-04-30,Q,2023,7192000000,2043000000,0.8200,0.2841
NVDA,2023-07-30,Q,2023,13507000000,6188000000,0.2500,0.4581
NVDA,2023-10-29,Q,2023,18120000000,9243000000,0.3700,0.5101
NVDA,2024-01-28,FY,2024,60922000000,29760000000,1.1900,0.4885
NVDA,2024-04-28,Q,2024,26044000000,14881000000,0.6000,0.5714
NVDA,2024-07-28,Q,2024,30040000000,16599000000,0.6700,0.5526
NVDA,2024-10-27,Q,2024,35082000000,19309000000,0.7800,0.5504
NVDA,2025-01-26,FY,2025,130497000000,72880000000,2.9400,0.5585
NVDA,2025-04-27,Q,2025,44062000000,18775000000,0.7600,0.4261
NVDA,2025-07-27,Q,2025,46743000000,26422000000,1.0800,0.5653
NVDA,2025-10-26,Q,2025,57006000000,31910000000,1.3000,0.5598
NVDA,2026-01-25,FY,2026,215938000000,120067000000,4.9000,0.5560
NVDA,2026-04-26,Q,2026,81615000000,58321000000,2.3900,0.7146
TSLA,2023-03-31,Q,2023,23329000000,2513000000,0.7300,0.1077
TSLA,2023-06-30,Q,2023,24927000000,2703000000,0.7800,0.1084
TSLA,2023-09-30,Q,2023,23350000000,1853000000,0.5300,0.0794
TSLA,2023-12-31,FY,2023,96773000000,14997000000,4.3000,0.1550
TSLA,2024-03-31,Q,2024,21301000000,1390000000,0.4100,0.0653
TSLA,2024-06-30,Q,2024,25500000000,1400000000,0.4000,0.0549
TSLA,2024-09-30,Q,2024,25182000000,2173000000,0.6200,0.0863
TSLA,2024-12-31,FY,2024,97690000000,7091000000,2.0400,0.0726
TSLA,2025-03-31,Q,2025,19335000000,409000000,0.1200,0.0212
TSLA,2025-06-30,Q,2025,22496000000,1172000000,0.3300,0.0521
TSLA,2025-09-30,Q,2025,28095000000,1373000000,0.3900,0.0489
TSLA,2025-12-31,FY,2025,94827000000,3794000000,1.0800,0.0400
TSLA,2026-03-31,Q,2026,22387000000,477000000,0.1300,0.0213
